Stadio Luigi Ferraris 	Genoa CFC 
La Romareda Stadium 	Real Zaragoza 
Stadio Cino e Lillo Del Duca 	
Stadio Moretti 	
Stadio Angelo Massimino 	
Mediterraneo Stadium 	
Sarria Stadium 	CE Espanyol 
Estadio la Rosaleda 	
Estadio Mestalla 	CF Valencia 
Stadio Marcantonio Bentegodi 	
Estadio Ciutat de Valencia 	Levante UD 
Giuseppe Meazza Stadium 	
Estadio El Molinon 	Real Sporting 
Renzo Barbera Stadium 	Palermo calcio 
Stadio Via del Mare 	US Lecce 
Stadio Mario Rigamonti 	Brescia Calcio 
Ipurua Municipal Stadium 	Real Santander SD 
Stadio di Ardenza 	
Stadio Comunale Artemio Franchi 	
Estadio Reyno de Navarra 	Atletico Osasuna 
Estadio San Mames 	Athletic Bilbao 
Estadio Nuevo Los Carmenes 	CF Granada 
Estadio El Sardinero 	Deportivo La Coruna 
Stadio Comunale di Torino 	
Estadio Santiago Bernabeu 	Athletic Madrid 
Stadio San Nicola 	AS Bari 
Stadio Adriatico 	Pescara Calcio 
San Paolo Stadium 	AC Napoli 
Estadio El Madrigal 	Villarreal CF 
Riazor Stadium 	Deportivo La Coruna 
Stadio Delle Alpi 	FC Juventus 
Estadio Nuevo Jose Zorrilla 	
Estadio Balaidos 	Celta De Vigo 
Stadio Carlo Castellani 	Empoli Calcio 
Vicente Calderon Stadium 	Athletic Madrid 
Dino Manuzzi Stadium 	AC Cesena 
Camp Nou Stadium 	Barcelona CF 
Juventus Stadium 	FC Juventus 
Estadio Manuel Martinez Valero 	
Son Moix Stadium 	
Stadio Friuli 	
Stadio Olimpico 	
Estadio Jose Rico Perez 	
Stadio Filadelfia 	
New San Mames Stadium 	Athletic Bilbao 
Stadio Citta del Tricolore 	
Stadio Littorale 	
Estadio Sanchez Pizjuan 	Betis Sevilla 
Estadio Benito Villamarin 	Betis Sevilla 
Stadio Artemio Franchi 	ACF Fiorentina 
Stadio Is Arenas 	Cagliari Calcio 
Stadio Oreste Granillo 	Reggina 
Anoeta Stadium 	Real Sociedad 
Estadio Teresa Rivero 	AD Rayo Vallecano 
Stadio Ennio Tardini 	AC Parma 
