 "players_name" , "team_name" ,
 "Mike Lindemann Jensen" , "Rosenborg" ,
 "Edin Višća" , "İstanbul Başakşehir" ,
 "Karl Abrahamsson Løkin" , "ÍF" ,
 "Rajko Rotman" , "İstanbul Başakşehir" ,
 "Muheeb Azat Issa Al-Balushi" , "Al-Nasr S.C.S.C." ,
 "Muheeb Azat Issa Al-Balushi" , نادي النصر الرياضي الثفافي الإجتماعي ,
 "Hamza Ali Khaled Al-Dardour" , "Al-Khaleej Club" ,
 "Joseph Yannick M'Bone" , "EFC Fréjus Saint-Raphaël" ,
 "Obed Owusu Yeboah" , "Güngörenspor" ,
 "Robert Wulnikowski" , "Würzburger Kickers" ,
 "Stéphane Diarra Badji" , "İstanbul Başakşehir" ,
 "Vincent Santiago Georges Fernandez" , "EFC Fréjus Saint-Raphaël" ,
 "Phan Thanh Giang" , "ĐTLA" ,
 "Sedat Ağçay" , "İstanbul Başakşehir" ,
 "Semih Şentürk" , "İstanbul Başakşehir" ,
 "Wilfried Domoraud" , "Arles-Avignon" ,
 "Donny Renzo Neyra Ferrada" , "Al-Mesaimeer S.C." ,
 "Matthew David Blinkhorn" , "A.F.C. Fylde" ,
 "Paulo César Silva Martins" , "Al-Shamal SC" ,
 "Jaycee John "Ronaldo"  Okwunwanne" , "Al-Mesaimeer S.C." ,
 "Japhet Dooyum Imadu" , "Akwa United" ,
 "Héritier Luvumbu Nzinga" , "AS Vita Club" ,
 "Orestes Júnior Alves" , "Al-Shoulla" ,
 "Orestes Júnior Alves" , نادي الشعلة السعودي ,
 "Loïc Damour" , "EFC Fréjus Saint-Raphaël" ,
 "Musaed Abdullah Al sulaili" , "Al-Nasr SC" ,
 "Musaed Abdullah Al sulaili" , النصر ,
 "Gino van Kessel" , "Arles-Avignon" ,
 "Rakan Bani Khaled Al-Khalidi" , "Al-Ramtha SC" ,
 "Bartal Eliasen" , "ÍF" ,
 "Trần Chí Công" , "ĐTLA" ,
 "Ibrahim Farhan Al-Zawahreh" , "Al-Khaleej Club" ,
 "Alexander Lund Hansen" , "Rosenborg" ,
 "Alexander Toft Søderlund" , "Rosenborg" ,
 "Hólmar Örn Eyjólfsson" , "Rosenborg" ,
 "Mikael Frank Dorsin" , "Rosenborg" ,
 "Ole Kristian Selnæs" , "Rosenborg" ,
 "Pål André Helland" , "Rosenborg" ,
 "Per Verner Vågan Rønning" , "Rosenborg" ,
 "Ken Remi Stefan Strandberg" , "Rosenborg" ,
 "Tomáš Malec" , "Rosenborg" ,
 "Tore Reginiussen" , "Rosenborg" ,
 "Enver Cenk Şahin" , "İstanbul Başakşehir" ,
 "Mamadou Hamidou Niang" , "Arles-Avignon" ,
 "Rızvan Şahin" , "İstanbul Başakşehir" ,
 "Ramzi Ben Younès" , "Al-Nasr SC" ,
 "Ramzi Ben Younès" , النصر ,
 "Yalçın Ayhan" , "İstanbul Başakşehir" ,
 "Jérémy Perbet" , "İstanbul Başakşehir" ,
 "Marco Haller" , "Würzburger Kickers" ,
 "Oskars Kļava" , "AZAL PFK" ,
 "Larsen Touré" , "Arles-Avignon" ,
 "Ismail Sulaiman Ashoor Al-Ajmi" , "Al-Nasr SC" ,
 "Ismail Sulaiman Ashoor Al-Ajmi" , النصر ,
 "Julio Cesar do Nascimento" , "Al-Khor SC" ,
 "Yahya Kabi" , "Al-Shoulla" ,
 "Yahya Kabi" , نادي الشعلة السعودي ,
 "Ibrahima Ndiaye" , "Al-Khor SC" ,
 "Richard Michael Barroilhet" , "EFC Fréjus Saint-Raphaël" ,
 "Cyril Hennion" , "EFC Fréjus Saint-Raphaël" ,
 "Ruslan Majidov" , "AZAL PFK" ,
 "Ali Mejbel Fartoos Deyab" , "Al-Shamal SC" ,
 "Freddy Mombongo-Dues" , "AZAL PFK" ,
 "Ali Omar Musa Khwayleh" , "Al-Ramtha SC" ,
 "Tariq Ibrahim Mohammad al Tayib" , "Al-Nasr SC" ,
 "Tariq Ibrahim Mohammad al Tayib" , النصر ,
 "Iyad Sami Saleh Al-Khatib" , "Al-Ramtha SC" ,
 "Burj Ali Maodah" , "Al-Shoulla" ,
 "Burj Ali Maodah" , نادي الشعلة السعودي ,
 "Dominik Nothnagel" , "Würzburger Kickers" ,
 "Hattan Sultan Bahebri" , "Al-Khaleej Club" ,
 "Adrián Cuevas Algeciras" , "Xerez B" ,
 "Amir-Hossein Shapourzadeh" , "Würzburger Kickers" ,
 "Naby-Moussa Yattara" , "Arles-Avignon" ,
 "Gaëtan Deneuve" , "EFC Fréjus Saint-Raphaël" ,
 "Paul Aidoo" , "Güngörenspor" ,
 "Matej Delač" , "Arles-Avignon" ,
 "Mwinyi Kazimoto" , "Al-Markhiya S.C." ,
 "Wellington Brito da Silva" , "İstanbul Başakşehir" ,
 "Abdullah Msheleh Al-Marzouq" , "Al-Nasr SC" ,
 "Abdullah Msheleh Al-Marzouq" , النصر ,
 "Florian Pinteaux" , "Arles-Avignon" ,
 "Grégory Gendrey" , "EFC Fréjus Saint-Raphaël" ,
 "Grégory Gendrey" , "AFC Compiègne" ,
 "Thomas Scott Eckersley" , "A.F.C. Fylde" ,
 "Tesfaye Tafese" , "Al-Tilal SC" ,
 "Ömer Can Sokullu" , "İstanbul Başakşehir" ,
 "Boubacar Sanogo" , "Fujairah SC" ,
 "Tiago José Ribeiro Costa" , "Académico de Viseu" ,
 "Marco Antônio Miranda Filho" , "Al-Khor SC" ,
 "Gaël Givet-Viaros" , "Arles-Avignon" ,
 "Kervens Fils Belfort" , "EFC Fréjus Saint-Raphaël" ,
 "Tiago Filipe Martins Gonçalves" , "Académico de Viseu" ,
 "Tiago Nuno Cordeiro Borges" , "Académico de Viseu" ,
 "Abdullah Nooh Bilal Al-Hamar" , "Al-Nasr S.C.S.C." ,
 "Abdullah Nooh Bilal Al-Hamar" , نادي النصر الرياضي الثفافي الإجتماعي ,
 "Christopher Bieber" , "Würzburger Kickers" ,
 "Jákup Nolsøe Mikkelsen" , "ÍF" ,
 "Kostadin Antonov Velkov" , "Würzburger Kickers" ,
 "Ferhat Öztorun" , "İstanbul Başakşehir" ,
 "Ali Mohammed Mohammed Al-Nono" , "Al-Tilal SC" ,
 "Jean-Christophe Lourde" , "AFC Compiègne" ,
 "Uçar in 2013" , "İstanbul Başakşehir" ,
 "José Márcio da Costa" , "İstanbul Başakşehir" ,
 "Phan Văn Tài Em" , "ĐTLA" ,
 "Garry Bocaly" , "Arles-Avignon" ,
